what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1257996451943
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257996472787
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257996495552
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257996507240
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257996509130
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996511412
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996511693
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996520304
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996528226
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996545040
started,bundle,org.eclipse.jst.server.ui,1.1.0.v20090421,"org.eclipse.jst.server.ui",1257996554477
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996563102
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996572008
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996573493
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257996596394
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996603488
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996605347
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996605660
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996607204
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996607282
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996609563
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1257996609579
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996610832
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1257996612153
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996612200
