what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.uml2.uml.edit,3.0.0.v200905041045,"org.eclipse.uml2.uml.edit",1257991843296
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v200905041045,"org.eclipse.uml2.common.edit",1257991843968
started,bundle,org.eclipse.draw2d,3.5.0.v20090528-1511,"org.eclipse.draw2d",1257991844453
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257991844468
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257991849484
started,bundle,com.omondo.uml.core,3.5.0.v20090815,"com.omondo.uml.core",1257991849859
opened,view,com.omondo.uml.core,3.5.0.v20090815,"com.omondo.uml.ui.views.FontAndColorsView",1257991850546
opened,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1257991850953
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1257991851000
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1257991851046
activated,view,com.omondo.uml.core,3.5.0.v20090815,"com.omondo.uml.ui.views.FontAndColorsView",1257991854234
activated,view,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views.ContentOutline",1257991854234
closed,view,com.omondo.uml.core,3.5.0.v20090815,"com.omondo.uml.ui.views.FontAndColorsView",1257991854281
activated,view,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1257991855640
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1257991860375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257991930203
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992027484
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1257992103250
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1257992103250
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1257992104750
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992109484
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257992110187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992120421
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1257992123015
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1257992123125
