what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1257997286052
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1257997286115
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1257997286115
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257997287365
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997289037
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997292802
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1257997292818
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1257997292818
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997296724
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997555927
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997559240
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997562130
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1257997562146
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1257997562146
activated,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1257997563365
activated,perspective,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.JavaPerspective",1257997565427
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257997565458
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1257997566474
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1257997682568
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1257997685943
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1257997687099
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1257997687255
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997815927
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997854927
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257997869537
