what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995522252
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995523206
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257995523596
started,bundle,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui",1257995530440
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1257995530690
started,bundle,org.eclipse.wst.css.ui,1.0.400.v200904292008,"org.eclipse.wst.css.ui",1257995531034
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.200.v200904230847,"org.eclipse.wst.jsdt.web.ui",1257995531065
started,bundle,org.eclipse.jst.jsf.ui,1.2.0.v20090427,"org.eclipse.jst.jsf.ui",1257995531237
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1257995531674
opened,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1257995531877
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1257995532143
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257995533096
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1257995533206
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1257995533221
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995543987
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995574184
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995597732
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995603279
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995616029
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995635013
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995652982
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995671933
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995672355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995677714
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257995680996
