what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996230707
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996232535
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996256191
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1257996257472
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1257996265613
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996267519
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996280791
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257996285510
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996290432
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996297418
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257996298215
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996308543
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996317060
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996317529
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996337382
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996341195
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996345414
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996345851
started,bundle,org.eclipse.jst.server.generic.core,1.0.505.v20090529,"org.eclipse.jst.server.generic.core",1257996346273
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1257996346304
opened,view,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.ui.ServersView",1257996352960
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257996353085
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.RunLast",1257996353179
started,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1257996356697
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1257996357119
