what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1258003775329
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1258003776188
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003776704
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003778485
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1258003781797
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1258003783407
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1258003785250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1258003785422
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1258003788422
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1258003789141
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1258003792672
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1258003792922
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003795266
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003795375
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1258003795391
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003799344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003807688
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003808188
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1258003877370
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.undo",1258003880010
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.delete.line",1258003885916
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1258003886198
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1258003891651
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1258003892291
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1258003892870
