what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1257992123343
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1257992123625
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992366734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992385359
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257992387937
started,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1257992388890
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1257992389921
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1257992390718
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1257992390796
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1257992396484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992445187
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992618640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992746806
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992760759
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1257992766150
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257992824087
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257993305900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257993307587
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257993334134
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257993336806
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257993338041
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257993344103
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1257993345650
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1257993353025
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.format",1257993356775
